Player_Name,Age_First_GS,Matches_Before_First_GS,Total_GS_Titles,Year_Turned_Pro,Year_First_GS,Total_ATP_Matches,Career_Span_Years,Win_Percentage,GS_Win_Ratio,Peak_Ranking,Peak_Ranking_Before_GS,Win_Percentage_Before_GS,Years_On_Tour_Before_GS
Goran Ivanisevic,29.8,876,1,1988,2001,937,16,64.46,68.75,2.0,2.0,65.53,13
Andres Gomez,30.2,698,1,1978,1990,806,17,66.13,66.67,4.0,5.0,68.62,12
Thomas Muster,27.7,612,1,1984,1995,903,27,69.32,67.24,1.0,6.0,69.44,11
Petr Korda,30.0,596,1,1985,1998,664,14,62.2,61.62,2.0,5.0,63.42,13
Ivan Lendl,24.2,565,8,1978,1984,1319,16,81.58,81.92,1.0,1.0,82.12,6
Manuel Orantes,26.6,532,1,1968,1975,1036,16,70.46,69.79,3.0,6.0,72.74,7
Albert Costa,26.9,512,1,1993,2002,662,13,58.61,58.62,6.0,9.0,61.13,9
Stan Wawrinka,28.8,502,3,2003,2014,970,23,60.41,69.26,3.0,8.0,60.36,11
Andy Murray,25.3,488,3,2005,2012,1017,19,73.55,77.82,1.0,2.0,75.2,7
Guillermo Vilas,24.8,485,4,1968,1977,1257,24,75.97,75.68,1.0,1.0,77.11,9
Marin Cilic,25.9,457,1,2005,2014,956,21,62.87,69.8,3.0,9.0,64.11,9
Dominic Thiem,27.0,442,1,2011,2020,568,13,61.8,67.57,3.0,3.0,64.93,9
Roscoe Tanner,25.2,440,1,1969,1977,900,16,66.56,73.17,4.0,8.0,67.27,8
Ilie Nastase,26.1,386,2,1968,1972,1267,17,72.93,70.5,1.0,,77.98,4
Thomas Johansson,26.8,366,1,1993,2002,658,16,54.86,56.73,7.0,14.0,55.19,9
Richard Krajicek,24.6,334,1,1991,1996,635,12,65.2,69.77,4.0,8.0,63.47,5
Adriano Panatta,25.9,333,1,1968,1976,666,15,62.01,67.39,4.0,8.0,64.56,8
Andre Agassi,22.1,331,8,1986,1992,1147,20,76.02,80.87,1.0,3.0,72.51,6
Andres Gimeno,34.8,321,1,1968,1972,385,5,65.97,72.55,,,65.42,4
Yannick Noah,23.0,319,1,1977,1983,697,19,69.3,70.25,4.0,7.0,71.47,6
Stan Smith,24.7,306,2,1968,1971,1099,17,71.79,70.83,5.0,,77.45,3
Brian Teacher,26.0,306,1,1971,1980,574,15,58.36,56.96,11.0,20.0,56.21,9
Roger Federer,21.9,304,20,1998,2003,1545,23,81.88,85.94,1.0,4.0,66.45,5
Daniil Medvedev,25.6,297,1,2016,2021,610,10,70.49,72.95,1.0,2.0,67.68,5
Juan Carlos Ferrero,23.3,287,1,1999,2003,741,13,64.64,68.75,1.0,2.0,69.69,4
Sergi Bruguera,22.4,286,2,1988,1993,719,14,62.17,63.95,3.0,5.0,65.38,5
Gaston Gaudio,25.5,281,1,1999,2004,468,11,58.12,54.41,5.0,19.0,57.3,5
Yevgeny Kafelnikov,22.3,276,2,1992,1996,920,11,66.63,73.33,1.0,4.0,68.48,4
Jannik Sinner,22.4,272,4,2019,2024,417,6,78.18,81.31,1.0,4.0,71.32,5
Patrick Rafter,24.7,269,2,1991,1997,551,10,65.15,69.72,2.0,14.0,59.48,6
Vitas Gerulaitis,23.4,259,1,1971,1977,778,15,69.41,69.92,3.0,5.0,66.8,6
Jimmy Connors,21.3,251,8,1969,1973,1587,27,80.78,82.33,1.0,1.0,76.49,4
John Newcombe,26.1,246,5,1968,1970,803,13,71.36,81.58,1.0,,69.11,2
Lleyton Hewitt,20.5,236,2,1997,2001,883,19,70.1,69.81,1.0,4.0,72.88,4
Pat Cash,22.1,218,1,1981,1987,386,16,61.66,67.33,4.0,7.0,62.39,6
Andy Roddick,21.0,213,1,2000,2003,829,12,74.07,74.43,1.0,4.0,73.71,3
John McEnroe,20.5,211,7,1976,1979,1091,18,81.58,81.55,1.0,3.0,79.15,3
Carlos Moya,21.7,210,1,1995,1998,900,15,64.22,62.9,1.0,5.0,63.33,3
Johan Kriek,23.7,201,2,1977,1981,603,15,63.02,70.94,7.0,12.0,63.18,4
Juan Martin del Potro,20.9,192,1,2006,2009,621,16,71.34,72.93,3.0,5.0,66.15,3
Jim Courier,20.8,183,4,1987,1991,745,13,68.19,75.8,1.0,8.0,63.93,4
Marat Safin,20.6,173,2,1997,2000,693,12,61.18,70.9,1.0,6.0,58.38,3
Novak Djokovic,20.6,172,24,2004,2008,1413,21,83.37,87.72,1.0,3.0,70.35,4
Bjorn Borg,18.0,157,11,1971,1974,805,22,81.86,89.31,1.0,3.0,68.15,3
Stefan Edberg,19.8,140,6,1982,1985,1074,14,74.58,78.76,1.0,6.0,65.71,3
Michael Stich,22.7,134,1,1989,1991,564,8,68.44,71.82,2.0,9.0,60.45,2
Jan Kodes,24.2,131,3,1968,1970,800,15,63.88,72.03,9.0,,65.65,2
Rafael Nadal,19.0,122,22,2002,2005,1326,22,82.28,87.26,1.0,7.0,70.49,3
Pete Sampras,19.0,105,14,1988,1990,996,14,76.91,84.23,1.0,12.0,59.05,2
Carlos Alcaraz,19.3,104,6,2020,2022,345,5,81.16,86.6,1.0,4.0,74.04,2
Michael Chang,17.3,64,1,1987,1989,978,16,67.89,68.18,2.0,20.0,64.06,2
Arthur Ashe,25.1,63,3,1968,1968,1068,11,75.56,79.1,2.0,,87.3,0
Boris Becker,17.6,57,6,1983,1985,941,16,76.09,80.3,1.0,29.0,57.89,2
Mats Wilander,17.8,56,7,1980,1982,795,16,71.95,79.56,1.0,31.0,57.14,2
Gustavo Kuerten,20.7,42,3,1996,1997,556,12,64.93,68.42,1.0,64.0,50.0,1
Rod Laver,29.9,41,5,1968,1968,730,11,79.73,85.71,2.0,,82.93,0
Ken Rosewall,33.6,18,4,1968,1968,742,12,73.85,82.88,3.0,,77.78,0
Mark Edmondson,21.5,11,1,1972,1975,500,15,51.6,53.66,15.0,219.0,36.36,3
