,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback_score,avg_set_margin,tiebreaks_count,lead_changes,bp_saved_ratio,bp_total
0,Wimbledon,20190701,F,297.0,7-6(5) 1-6 7-6(4) 4-6 13-12(3),Novak Djokovic,Roger Federer,0.8209498847434475,2,2.0,3,4,0.5238095238095238,21.0
1,Roland Garros,20250526,F,329.0,4-6 6-7(4) 6-4 7-6(3) 7-6(2),Carlos Alcaraz,Jannik Sinner,0.8035994636080748,3,1.4,3,1,0.5172413793103449,29.0
2,Australian Open,20090119,SF,310.0,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,Rafael Nadal,Fernando Verdasco,0.7717405802669399,2,1.4,3,3,0.75,24.0
3,Wimbledon,20130624,SF,283.0,7-5 4-6 7-6(2) 6-7(6) 6-3,Novak Djokovic,Juan Martin del Potro,0.7466861749053758,2,1.8,2,4,0.7727272727272727,22.0
4,Wimbledon,20180702,SF,396.0,7-6(6) 6-7(5) 6-7(9) 6-4 26-24,Kevin Anderson,John Isner,0.7463011006289307,2,1.4,3,2,0.625,16.0
5,Australian Open,20170116,SF,296.0,6-3 5-7 7-6(5) 6-7(4) 6-4,Rafael Nadal,Grigor Dimitrov,0.7447013878871203,2,1.8,2,4,0.6896551724137931,29.0
6,US Open,19920831,SF,326.0,6-7(3) 7-5 7-6(3) 5-7 6-4,Stefan Edberg,Michael Chang,0.7128996898033524,2,1.6,2,3,0.5818181818181818,55.0
7,Australian Open,20130114,SF,240.0,6-4 6-7(5) 6-3 6-7(2) 6-2,Andy Murray,Roger Federer,0.6989519052904181,2,2.2,2,4,0.6363636363636364,22.0
8,Wimbledon,20180702,SF,315.0,6-4 3-6 7-6(9) 3-6 10-8,Novak Djokovic,Rafael Nadal,0.6918710606448675,2,2.2,1,4,0.7333333333333333,30.0
9,Wimbledon,20090622,F,256.0,5-7 7-6(6) 7-6(5) 3-6 16-14,Roger Federer,Andy Roddick,0.6907732789777741,2,1.8,2,3,0.75,12.0
10,Wimbledon,20140623,F,236.0,6-7(7) 6-4 7-6(4) 5-7 6-4,Novak Djokovic,Roger Federer,0.690056703378013,2,1.6,2,3,0.6818181818181818,22.0
11,Wimbledon,20070625,F,225.0,7-6(7) 4-6 7-6(3) 2-6 6-2,Roger Federer,Rafael Nadal,0.6821722317832488,2,2.4,2,4,0.631578947368421,19.0
12,US Open,20090831,F,246.0,3-6 7-6(5) 4-6 7-6(4) 6-2,Juan Martin del Potro,Roger Federer,0.6631772935746298,2,2.2,2,3,0.7297297297297297,37.0
13,Australian Open,20240115,SF,258.0,5-7 3-6 7-6(4) 7-6(5) 6-3,Daniil Medvedev,Alexander Zverev,0.6538395906258004,3,2.0,2,1,0.625,24.0
14,Australian Open,20050117,SF,268.0,5-7 6-4 5-7 7-6(6) 9-7,Marat Safin,Roger Federer,0.6512808623530045,2,1.8,1,3,0.7037037037037037,27.0
15,Australian Open,20120116,F,353.0,5-7 6-4 6-2 6-7(5) 7-5,Novak Djokovic,Rafael Nadal,0.6477233985030878,2,2.2,1,3,0.5769230769230769,26.0
16,Australian Open,20090119,F,259.0,7-5 3-6 7-6(3) 3-6 6-2,Rafael Nadal,Roger Federer,0.6421583596573608,2,2.6,1,4,0.6285714285714286,35.0
17,Roland Garros,20170529,SF,274.0,6-7(6) 6-3 5-7 7-6(3) 6-1,Stan Wawrinka,Andy Murray,0.6407080736503601,2,2.4,2,3,0.46153846153846156,26.0
18,Wimbledon,19980622,F,172.0,6-7(2) 7-6(9) 6-4 3-6 6-2,Pete Sampras,Goran Ivanisevic,0.6387880256917559,2,2.2,2,3,0.7391304347826086,23.0
19,US Open,20200831,F,242.0,2-6 4-6 6-4 6-3 7-6(6),Dominic Thiem,Alexander Zverev,0.6373851524223155,3,2.4,1,1,0.5161290322580645,31.0
20,Roland Garros,20130527,SF,277.0,6-4 3-6 6-1 6-7(3) 9-7,Rafael Nadal,Novak Djokovic,0.6368269569424286,2,2.6,1,4,0.48,25.0
21,US Open,20220829,SF,259.0,6-7(6) 6-3 6-1 6-7(5) 6-3,Carlos Alcaraz,Frances Tiafoe,0.6315361374351386,2,2.6,2,3,0.5555555555555556,27.0
22,Australian Open,20220117,F,324.0,2-6 6-7(5) 6-4 6-4 7-5,Rafael Nadal,Daniil Medvedev,0.6310420259540681,3,2.2,1,1,0.7045454545454546,44.0
23,Wimbledon,19950626,SF,153.0,7-6(7) 4-6 6-3 4-6 6-3,Pete Sampras,Goran Ivanisevic,0.6278116337972054,2,2.2,1,4,0.6153846153846154,13.0
24,Australian Open,20160118,SF,243.0,4-6 7-5 6-7(4) 6-4 6-2,Andy Murray,Milos Raonic,0.6254700048379294,2,2.2,1,3,0.7727272727272727,22.0
25,Australian Open,20140113,SF,211.0,6-3 6-7(1) 7-6(3) 7-6(4),Stan Wawrinka,Tomas Berdych,0.6225678348843166,0,1.5,3,2,0.8,5.0
26,US Open,20030825,SF,211.0,6-7(4) 3-6 7-6(7) 6-1 6-3,Andy Roddick,David Nalbandian,0.613552100230513,3,2.6,2,1,0.75,20.0
27,Australian Open,20150119,SF,210.0,7-6(1) 3-6 6-4 4-6 6-0,Novak Djokovic,Stan Wawrinka,0.6058486456643615,2,2.8,1,4,0.52,25.0
28,Wimbledon,19830620,SF,201.60000000000002,6-7 6-4 7-6 6-7 8-6,Chris Lewis,Kevin Curren,0.6053282499501977,2,1.4,0,3,0.625,0.0
29,Wimbledon,19960624,SF,229.0,5-7 6-4 6-7(6) 6-3 10-8,MaliVai Washington,Todd Martin,0.6046229616665244,2,2.0,1,3,0.4166666666666667,12.0
30,US Open,19990830,F,203.0,6-4 6-7(5) 6-7(2) 6-3 6-2,Andre Agassi,Todd Martin,0.6030064553155563,2,2.2,2,2,0.7222222222222222,18.0
31,Australian Open,20020114,SF,220.0,6-7(5) 7-6(4) 3-6 6-0 6-2,Marat Safin,Tommy Haas,0.6002661714903668,2,3.0,2,3,0.6153846153846154,26.0
32,Wimbledon,20000626,SF,198.0,7-5 4-6 7-5 4-6 6-3,Patrick Rafter,Andre Agassi,0.5996985116252597,2,2.2,0,4,0.5714285714285714,21.0
33,Wimbledon,20080623,F,288.0,6-4 6-4 6-7(5) 6-7(8) 9-7,Rafael Nadal,Roger Federer,0.5990627365605168,1,1.6,2,2,0.8076923076923077,26.0
34,Australian Open,19700119,SF,211.20000000000002,6-3 9-11 8-6 3-6 8-6,Dick Crealy,Roger Taylor,0.5969823949173283,2,2.4,0,4,0.625,0.0
35,US Open,20130826,SF,249.0,2-6 7-6(4) 3-6 6-3 6-4,Novak Djokovic,Stan Wawrinka,0.5958129703610586,2,2.6,1,3,0.6551724137931034,29.0
36,Wimbledon,19860623,SF,169.60000000000002,6-2 6-7 6-3 6-7 6-4,Ivan Lendl,Slobodan Zivojinovic,0.5941855025754859,2,2.2,0,4,0.625,0.0
37,Roland Garros,20190527,SF,253.0,6-2 3-6 7-5 5-7 7-5,Dominic Thiem,Novak Djokovic,0.5924868664446911,2,2.6,0,4,0.5294117647058824,34.0
38,US Open,19880829,F,163.20000000000002,6-4 4-6 6-3 5-7 6-4,Mats Wilander,Ivan Lendl,0.5920135568741284,2,2.2,0,4,0.625,0.0
39,US Open,19840828,SF,163.20000000000002,6-4 4-6 7-5 4-6 6-3,John McEnroe,Jimmy Connors,0.5920135568741284,2,2.2,0,4,0.625,0.0
40,Australian Open,19821202,SF,163.20000000000002,6-4 4-6 6-3 3-6 7-6,Steve Denton,Henry Pfister,0.5920135568741284,2,2.2,0,4,0.625,0.0
41,Wimbledon,19910624,SF,188.0,4-6 7-6(5) 7-6(5) 7-6(2),Michael Stich,Stefan Edberg,0.5903619909502261,0,1.25,3,1,0.9090909090909091,11.0
42,Australian Open,20000117,SF,175.0,6-4 3-6 6-7(0) 7-6(5) 6-1,Andre Agassi,Pete Sampras,0.5895723270440252,2,2.4,2,2,0.8181818181818182,22.0
43,Wimbledon,19920622,F,170.0,6-7(8) 6-4 6-4 1-6 6-4,Andre Agassi,Goran Ivanisevic,0.5885421611315064,2,2.4,1,3,0.7619047619047619,21.0
44,Australian Open,19741226,SF,185.60000000000002,6-4 4-6 6-4 2-6 11-9,John Newcombe,Tony Roche,0.5882946121118984,2,2.4,0,4,0.625,0.0
45,Wimbledon,19730625,SF,214.4,8-9 9-7 5-7 6-4 7-5,Jan Kodes,Roger Taylor,0.5870306319189504,2,1.8,0,3,0.625,0.0
46,US Open,19680829,F,208.0,14-12 5-7 6-3 3-6 6-3,Arthur Ashe,Tom Okker,0.5845756673496684,2,2.6,0,4,0.625,0.0
47,US Open,20050829,SF,164.0,6-4 5-7 6-3 4-6 6-3,Andre Agassi,Robby Ginepri,0.583287571231886,2,2.4,0,4,0.6551724137931034,29.0
48,Australian Open,20180115,F,183.0,6-2 6-7(5) 6-3 3-6 6-1,Roger Federer,Marin Cilic,0.5830042403027975,2,3.2,1,4,0.6363636363636364,22.0
49,Wimbledon,19750623,SF,195.20000000000002,5-7 6-4 7-5 8-9 6-4,Arthur Ashe,Tony Roche,0.580514794814878,2,1.8,0,3,0.625,0.0
50,Wimbledon,20230703,F,283.0,1-6 7-6(6) 6-1 3-6 6-4,Carlos Alcaraz,Novak Djokovic,0.5772938330629784,2,3.2,1,3,0.7058823529411765,34.0
51,Australian Open,20010115,SF,248.0,5-7 2-6 7-6(4) 7-5 6-2,Arnaud Clement,Sebastien Grosjean,0.576483661316486,3,2.6,1,1,0.625,32.0
52,US Open,20110829,SF,231.0,6-7(7) 4-6 6-3 6-2 7-5,Novak Djokovic,Roger Federer,0.5701454793818833,3,2.4,1,1,0.47058823529411764,17.0
53,Roland Garros,20210531,F,251.0,6-7(6) 2-6 6-3 6-2 6-4,Novak Djokovic,Stefanos Tsitsipas,0.5693893394803495,3,2.8,1,1,0.6666666666666666,24.0
54,Wimbledon,19770620,SF,163.20000000000002,6-4 3-6 6-3 3-6 8-6,Bjorn Borg,Vitas Gerulaitis,0.5693720474401661,2,2.6,0,4,0.625,0.0
55,Australian Open,19811224,SF,163.20000000000002,7-6 6-7 6-1 3-6 6-3,Steve Denton,Henry Pfister,0.5693720474401661,2,2.6,0,4,0.625,0.0
56,Wimbledon,20010625,SF,182.0,7-5 6-7(6) 0-6 7-6(5) 6-3,Goran Ivanisevic,Tim Henman,0.5689604712712371,2,2.6,2,2,0.6666666666666666,15.0
57,Australian Open,19910114,SF,242.0,6-4 5-7 3-6 7-6(3) 6-4,Ivan Lendl,Stefan Edberg,0.5669513930390733,2,2.0,1,2,0.45454545454545453,22.0
58,Wimbledon,20160627,SF,204.0,6-3 6-7(3) 4-6 7-5 6-3,Milos Raonic,Roger Federer,0.5666170636614587,2,2.2,1,2,0.7647058823529411,17.0
59,Wimbledon,20090622,SF,187.0,6-4 4-6 7-6(7) 7-6(5),Andy Roddick,Andy Murray,0.5621201727425367,0,1.5,2,2,0.6666666666666666,12.0
60,Australian Open,20170116,F,217.0,6-4 3-6 6-1 3-6 6-3,Roger Federer,Rafael Nadal,0.5617318910304482,2,3.2,0,4,0.7297297297297297,37.0
