Player_Name,Age_First_GS,Matches_Before_First_GS,Total_GS_Titles,Year_Turned_Pro,Year_First_GS,Total_ATP_Matches,Career_Span_Years,Win_Percentage,GS_Win_Ratio,Peak_Ranking,Peak_Ranking_Before_GS,Win_Percentage_Before_GS,Years_On_Tour_Before_GS
Goran Ivanisevic,29.8,876,1,1991,2001,604,15,100.0,70.0,5.0,10.0,65.0,10
Andres Gomez,30.2,698,1,1980,1990,533,15,100.0,70.0,5.0,10.0,65.0,10
Thomas Muster,27.7,612,1,1985,1995,626,15,100.0,70.0,5.0,10.0,65.0,10
Petr Korda,30.0,596,1,1988,1998,413,15,100.0,70.0,5.0,10.0,65.0,10
Ivan Lendl,24.2,565,8,1974,1984,1076,15,100.0,70.0,5.0,10.0,65.0,10
Manuel Orantes,26.6,532,1,1965,1975,730,15,100.0,70.0,5.0,10.0,65.0,10
Albert Costa,26.9,512,1,1992,2002,388,15,100.0,70.0,5.0,10.0,65.0,10
Stan Wawrinka,28.8,502,3,2004,2014,586,15,100.0,70.0,5.0,10.0,65.0,10
Andy Murray,25.3,488,3,2002,2012,748,15,100.0,70.0,5.0,10.0,65.0,10
Guillermo Vilas,24.8,485,4,1967,1977,955,15,100.0,70.0,5.0,10.0,65.0,10
Marin Cilic,25.9,457,1,2004,2014,601,15,100.0,70.0,5.0,10.0,65.0,10
Dominic Thiem,27.0,442,1,2010,2020,351,15,100.0,70.0,5.0,10.0,65.0,10
Ilie Nastase,26.1,386,2,1962,1972,924,15,100.0,70.0,5.0,10.0,65.0,10
Thomas Johansson,26.8,366,1,1992,2002,361,15,100.0,70.0,5.0,10.0,65.0,10
Richard Krajicek,24.6,334,1,1986,1996,414,15,100.0,70.0,5.0,10.0,65.0,10
Adriano Panatta,25.9,333,1,1966,1976,413,15,100.0,70.0,5.0,10.0,65.0,10
Andre Agassi,22.1,331,8,1982,1992,872,15,100.0,70.0,5.0,10.0,65.0,10
Andres Gimeno,34.8,321,1,1962,1972,254,15,100.0,70.0,5.0,10.0,65.0,10
Yannick Noah,23.0,319,1,1973,1983,483,15,100.0,70.0,5.0,10.0,65.0,10
Stan Smith,24.7,306,2,1961,1971,789,15,100.0,70.0,5.0,10.0,65.0,10
Brian Teacher,26.0,306,1,1970,1980,335,15,100.0,70.0,5.0,10.0,65.0,10
Roger Federer,21.9,304,20,1993,2003,1265,15,100.0,70.0,5.0,10.0,65.0,10
Daniil Medvedev,25.6,297,1,2011,2021,430,15,100.0,70.0,5.0,10.0,65.0,10
Juan Carlos Ferrero,23.3,287,1,1993,2003,479,15,100.0,70.0,5.0,10.0,65.0,10
Sergi Bruguera,22.4,286,2,1983,1993,447,15,100.0,70.0,5.0,10.0,65.0,10
Gaston Gaudio,25.5,281,1,1994,2004,272,15,100.0,70.0,5.0,10.0,65.0,10
Yevgeny Kafelnikov,22.3,276,2,1986,1996,613,15,100.0,70.0,5.0,10.0,65.0,10
Jannik Sinner,22.4,272,4,2014,2024,326,15,100.0,70.0,5.0,10.0,65.0,10
Patrick Rafter,24.7,269,2,1987,1997,359,15,100.0,70.0,5.0,10.0,65.0,10
Jimmy Connors,21.3,251,8,1963,1973,1282,15,100.0,70.0,5.0,10.0,65.0,10
John Newcombe,26.1,246,5,1960,1970,573,15,100.0,70.0,5.0,10.0,65.0,10
Lleyton Hewitt,20.5,236,2,1991,2001,619,15,100.0,70.0,5.0,10.0,65.0,10
Pat Cash,22.1,218,1,1977,1987,238,15,100.0,70.0,5.0,10.0,65.0,10
Andy Roddick,21.0,213,1,1993,2003,614,15,100.0,70.0,5.0,10.0,65.0,10
John McEnroe,20.5,211,7,1969,1979,890,15,100.0,70.0,5.0,10.0,65.0,10
Carlos Moya,21.7,210,1,1988,1998,578,15,100.0,70.0,5.0,10.0,65.0,10
Johan Kriek,23.7,201,2,1971,1981,380,15,100.0,70.0,5.0,10.0,65.0,10
Juan Martin del Potro,20.9,192,1,1999,2009,443,15,100.0,70.0,5.0,10.0,65.0,10
Jim Courier,20.8,183,4,1981,1991,508,15,100.0,70.0,5.0,10.0,65.0,10
Marat Safin,20.6,173,2,1990,2000,424,15,100.0,70.0,5.0,10.0,65.0,10
Novak Djokovic,20.6,172,24,1998,2008,1178,15,100.0,70.0,5.0,10.0,65.0,10
Bjorn Borg,18.0,157,11,1964,1974,659,15,100.0,70.0,5.0,10.0,65.0,10
Stefan Edberg,19.8,140,6,1975,1985,801,15,100.0,70.0,5.0,10.0,65.0,10
Michael Stich,22.7,134,1,1981,1991,386,15,100.0,70.0,5.0,10.0,65.0,10
Jan Kodes,24.2,131,3,1960,1970,511,15,100.0,70.0,5.0,10.0,65.0,10
Rafael Nadal,19.0,122,22,1995,2005,1091,15,100.0,70.0,5.0,10.0,65.0,10
Pete Sampras,19.0,105,14,1980,1990,766,15,100.0,70.0,5.0,10.0,65.0,10
Carlos Alcaraz,19.3,104,6,2012,2022,280,15,100.0,70.0,5.0,10.0,65.0,10
Michael Chang,17.3,64,1,1979,1989,664,15,100.0,70.0,5.0,10.0,65.0,10
Arthur Ashe,25.1,63,3,1958,1968,807,15,100.0,70.0,5.0,10.0,65.0,10
